INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                                             MATCH
├─python2-devel                                                                  python2-devel-2.7.13-17.fc27.s390x
├─python3-devel                                                                  python3-devel-3.6.2-11.fc27.s390x
└─popt-devel                                                                     popt-devel-1.16-11.fc27.s390x
langtable-0.0.37-3.fc28.src                                                      
├─perl-interpreter                                                               perl-interpreter-4:5.26.0-399.fc28.s390x
├─python2-devel                                                                  python2-devel-2.7.13-17.fc27.s390x
└─python3-devel                                                                  python3-devel-3.6.2-11.fc27.s390x
libndp-1.6-4.fc27.src                                                            
libpsl-0.18.0-1.fc27.src                                                         
├─glib2-devel                                                                    glib2-devel-2.53.6-1.fc28.s390x
├─gettext-devel                                                                  gettext-devel-0.19.8.1-11.fc27.s390x
├─gtk-doc                                                                        gtk-doc-1.25-6.fc27.s390x
├─libxslt                                                                        libxslt-1.1.29-6.fc28.s390x
├─libicu-devel                                                                   libicu-devel-57.1-4.fc26.s390x
├─libunistring-devel                                                             libunistring-devel-0.9.7-3.fc27.s390x
├─libidn2-devel                                                                  libidn2-devel-2.0.3-1.fc27.s390x
└─publicsuffix-list                                                              publicsuffix-list-20170809-1.fc27.noarch
libtar-1.2.20-11.fc27.src                                                        
├─libtool                                                                        libtool-2.4.6-20.fc27.s390x
└─zlib-devel                                                                     zlib-devel-1.2.11-4.fc27.s390x
libteam-1.27-4.fc28.src                                                          
├─python-devel                                                                   python2-devel-2.7.13-17.fc27.s390x
├─doxygen                                                                        doxygen-1:1.8.13-10.fc27.s390x
├─swig                                                                           swig-3.0.12-8.fc27.s390x
├─dbus-devel                                                                     dbus-devel-1:1.11.16-4.fc27.s390x
├─libnl3-devel                                                                   libnl3-devel-3.3.0-4.fc28.s390x
├─jansson-devel                                                                  jansson-devel-2.10-4.fc27.s390x
└─libdaemon-devel                                                                libdaemon-devel-0.14-13.fc27.s390x
NetworkManager-1:1.8.2-3.fc27.2.src                                              
├─libtool                                                                        libtool-2.4.6-20.fc27.s390x
├─autoconf                                                                       autoconf-2.69-25.fc27.noarch
